domain_id,name_zh,name_en,agent_count,family_count,source_counts,subcategory_counts
company,公司经营,Company,7,7,"{""agency_zh"": 7}","{""company"": 7}"
content-creative,内容创作,Content & Creative,48,48,"{""workbuddy"": 48}","{""内容创作"": 48}"
data-ai,数据智能,Data & AI,70,57,"{""agency_en"": 13, ""agency_zh"": 13, ""workbuddy"": 44}","{""gis"": 26, ""数据智能"": 44}"
education,教育学术,Education & Academia,24,19,"{""agency_en"": 7, ""agency_zh"": 6, ""workbuddy"": 11}","{""academic"": 12, ""research"": 1, ""开学季"": 11}"
engineering,技术工程,Engineering,153,119,"{""agency_en"": 65, ""agency_zh"": 43, ""workbuddy"": 45}","{""engineering"": 106, ""integrations"": 2, ""技术工程"": 45}"
finance,金融投资,Finance,52,47,"{""agency_en"": 5, ""agency_zh"": 9, ""workbuddy"": 38}","{""finance"": 14, ""金融投资"": 38}"
game-spatial,游戏空间,Game & Spatial,78,34,"{""agency_en"": 27, ""agency_zh"": 26, ""workbuddy"": 25}","{""game-development"": 41, ""spatial-computing"": 12, ""游戏空间"": 25}"
global-development,全球发展,Global Development,21,21,"{""workbuddy"": 21}","{""全球发展"": 21}"
healthcare,医疗健康,Healthcare,3,3,"{""agency_en"": 3}","{""healthcare"": 3}"
industry-consulting,行业顾问,Industry Consulting,34,34,"{""workbuddy"": 34}","{""行业顾问"": 34}"
legal-security,法务安全,Legal & Security,51,41,"{""agency_en"": 12, ""agency_zh"": 12, ""workbuddy"": 27}","{""legal"": 2, ""security"": 22, ""法务安全"": 27}"
marketing-growth,营销增长,Marketing & Growth,130,87,"{""agency_en"": 43, ""agency_zh"": 50, ""workbuddy"": 37}","{""marketing"": 79, ""paid-media"": 14, ""营销增长"": 37}"
operations-hr,运营人力,Operations & HR,19,19,"{""agency_zh"": 2, ""workbuddy"": 17}","{""hr"": 2, ""运营人力"": 17}"
product-design,产品设计,Product & Design,50,36,"{""agency_en"": 15, ""agency_zh"": 15, ""workbuddy"": 20}","{""design"": 20, ""product"": 10, ""产品设计"": 20}"
project-quality,项目质量,Project & Quality,57,42,"{""agency_en"": 16, ""agency_zh"": 16, ""workbuddy"": 25}","{""project-management"": 14, ""testing"": 18, ""项目质量"": 25}"
sales-commerce,销售商务,Sales & Commerce,35,24,"{""agency_en"": 9, ""agency_zh"": 9, ""workbuddy"": 17}","{""sales"": 18, ""销售商务"": 17}"
strategy,战略专项,Strategy & Specialized,117,69,"{""agency_en"": 59, ""agency_zh"": 58}","{""specialized"": 117}"
supply-chain,供应链,Supply Chain,5,5,"{""agency_zh"": 5}","{""supply-chain"": 5}"
support,客户支持,Customer Support,13,7,"{""agency_en"": 6, ""agency_zh"": 7}","{""support"": 13}"
tencent,腾讯专区,Tencent,37,37,"{""workbuddy"": 37}","{""腾讯专区"": 37}"
