source,skill,local_path,decision,local_replacement_or_constraint
local,novel-outline,~/.codex/skills/novel-outline/SKILL.md,direct,Node.js 本地生成大纲 JSON/Markdown
local,novel-characters,~/.codex/skills/novel-characters/SKILL.md,direct,只产角色卡和提示词；设定图交给本地 ComfyUI
local,novel-art,~/.codex/skills/novel-art/SKILL.md,direct,只产场景/道具设定和提示词；出图交给本地 ComfyUI
local,novel-script,~/.codex/skills/novel-script/SKILL.md,direct,Node.js 本地校验剧本、场次和节拍
local,novel-storyboard,~/.codex/skills/novel-storyboard/SKILL.md,direct,输出镜头表/关键帧提示词/生成批次单；图片改由 ComfyUI 生成
local,h3-prompt-writing,~/.codex/skills/h3-prompt-writing/SKILL.md,prompt-only,只保留 H3 格式写作，不调用 H3 云端接口
local,hyperframes,~/.codex/skills/hyperframes/SKILL.md,local-runtime,HTML/时间轴/本地渲染
local,hyperframes-core,~/.codex/skills/hyperframes-core/SKILL.md,local-runtime,本地 HTML composition 和确定性渲染
local,hyperframes-cli,~/.codex/skills/hyperframes-cli/SKILL.md,local-runtime,本地 HyperFrames CLI
workbuddy,video-generator,sources/workbuddy-experts/plugins/remotion-video-generator/skills/video-generator,direct,Node/Remotion/FFmpeg/Chromium；生成素材由 ComfyUI 提供
workbuddy,scene-planner,sources/workbuddy-experts/plugins/remotion-video-generator/skills/scene-planner,direct,纯分镜和场景规划
workbuddy,environment-setup,sources/workbuddy-experts/plugins/remotion-video-generator/skills/environment-setup,direct,只检查/安装本地 Node/FFmpeg/Remotion 环境
workbuddy,remotion-best-practices,sources/workbuddy-experts/plugins/remotion-video-generator/skills/remotion-best-practices,direct,本地 Remotion 编码规则
local,qiaomu-cut,~/.codex/skills/qiaomu-cut-skill/SKILL.md,constrained,只用本地素材/ComfyUI 输出/本地 TTS/FFmpeg；禁用 ListenHub 和外部素材源
local,qiankun-video-shift,~/.codex/skills/qiankun-video-shift/SKILL.md,constrained,只分析用户提供的本地视频；不下载受限平台内容，不调用云端视频理解 API
local,self-media-short-video,~/.codex/skills/self-media-short-video/SKILL.md,direct,只做脚本和分镜，不调用成片 API
