id,source_id,market_expert_id,agent_name,plugin,display_name_zh,display_name_en,name_zh,name_en,profession_zh,profession_en,description_zh,description_en,display_description_zh,display_description_en,category_id,category_name_zh,category_name_en,expert_type,visibility,version,author_zh,author_en,avatar,prompt_file,prompt_url,prompt_selected_url,prompt_local_path,prompt_status,prompt_bytes,prompt_sha256,signed_download_endpoint,is_opc,is_cloud,local_package_path,local_agent_path,agent_link_path,agent_source,agent_available,package_status,created_at,updated_at,is_exact_marketing_category,is_marketing_keyword_match,matched_keywords
SalesCoach,,,sales-coach,sales-coach,单必成,Ula,,,销售教练,Sales Coach,全栈销售教练：从能力培养到实战执行——会议准备、交易策略、商业案例、竞品分析、通话复盘，用苏格拉底式提问驱动,"Full-stack sales coaching: from rep development to deal execution — meeting prep, deal strategy, business cases, competitive intelligence, and call coaching",,,07-SalesCommerce,销售商务,Sales Commerce,agent,,,,,/avatars/SalesCoach.png,/plugins/sales-coach/agents/sales-coach.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/sales-coach/agents/sales-coach.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/sales-coach/agents/sales-coach.md,catalog/workbuddy_expert_catalog/prompts/SalesCoach/sales-coach.md,downloaded,21248,c61ca0f7ebe2a1a175a0429ba218f5756f6a0ad7d38c29580671acf304e37e8f,,0,0,sources/workbuddy-experts/plugins/sales-coach,sources/workbuddy-experts/plugins/sales-coach/agents/sales-coach.md,catalog/workbuddy_expert_catalog/agents/by-expert/SalesCoach.md,local_package,1,downloaded,2026-03-13T00:00:00Z,2026-06-03T19:30:00Z,1,1,"commerce,sales,销售"
ProposalStrategist,,,proposal-strategist,proposal-strategist,策必中,Tatum,,,方案策划师,Proposal Strategist,精通销售提案和方案设计，将价值转化为无法拒绝的商业论证,"Expert in sales proposals and solution design, transforming value into irresistible business cases",,,07-SalesCommerce,销售商务,Sales Commerce,agent,,,,,/avatars/ProposalStrategist.png,/plugins/proposal-strategist/agents/proposal-strategist.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/proposal-strategist/agents/proposal-strategist.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/proposal-strategist/agents/proposal-strategist.md,catalog/workbuddy_expert_catalog/prompts/ProposalStrategist/proposal-strategist.md,downloaded,15091,36bbc2f133542cedbb1d05ee58eb4a9b7a57328f3b5d63d1ba802b74f1b2d33c,,0,0,sources/workbuddy-experts/plugins/proposal-strategist,sources/workbuddy-experts/plugins/proposal-strategist/agents/proposal-strategist.md,catalog/workbuddy_expert_catalog/agents/by-expert/ProposalStrategist.md,local_package,1,downloaded,2026-03-13T00:00:00Z,2026-05-22T20:12:00Z,1,1,"commerce,sales,销售,转化"
EnterpriseAccountStrategist,,,enterprise-account-strategist,enterprise-account-strategist,拓客客,Quincy,,,大客户策略师,Enterprise Account Strategist,精通大客户经营和账户扩展策略，将客户发展为长期战略伙伴,"Expert in enterprise account management and expansion strategies, developing customers into long-term strategic partners",,,07-SalesCommerce,销售商务,Sales Commerce,agent,,,,,/avatars/EnterpriseAccountStrategist.png,/plugins/enterprise-account-strategist/agents/enterprise-account-strategist.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/enterprise-account-strategist/agents/enterprise-account-strategist.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/enterprise-account-strategist/agents/enterprise-account-strategist.md,catalog/workbuddy_expert_catalog/prompts/EnterpriseAccountStrategist/enterprise-account-strategist.md,downloaded,15266,fd2203723376974fa5594ce57db388276273ccf781238f99325a6c8d56ee1aaa,,0,0,sources/workbuddy-experts/plugins/enterprise-account-strategist,sources/workbuddy-experts/plugins/enterprise-account-strategist/agents/enterprise-account-strategist.md,catalog/workbuddy_expert_catalog/agents/by-expert/EnterpriseAccountStrategist.md,local_package,1,downloaded,2026-03-13T00:00:00Z,2026-05-22T20:12:00Z,1,1,"commerce,sales,销售"
DealStrategist,,,deal-strategist,deal-strategist,赢单单,Orion,,,交易策略师,Deal Strategist,精通复杂交易策略制定和推进，帮助销售团队赢得大单,"Expert in complex deal strategy formulation and execution, helping sales teams win major deals",,,07-SalesCommerce,销售商务,Sales Commerce,agent,,,,,/avatars/DealStrategist.png,/plugins/deal-strategist/agents/deal-strategist.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/deal-strategist/agents/deal-strategist.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/deal-strategist/agents/deal-strategist.md,catalog/workbuddy_expert_catalog/prompts/DealStrategist/deal-strategist.md,downloaded,13958,1f4078c68777170f6fe6e12149fc70f986094af3ff56fdc8be320db98b151aef,,0,0,sources/workbuddy-experts/plugins/deal-strategist,sources/workbuddy-experts/plugins/deal-strategist/agents/deal-strategist.md,catalog/workbuddy_expert_catalog/agents/by-expert/DealStrategist.md,local_package,1,downloaded,2026-03-13T00:00:00Z,2026-05-22T20:12:00Z,1,1,"commerce,sales,销售"
PresalesTechnicalConsultant,,,presales-technical-consultant,presales-technical-consultant,方案通,Sage,,,售前技术顾问,Presales Technical Consultant,架起技术与商业的桥梁，帮助客户理解解决方案的价值,"Bridging technology and business, helping clients understand the value of solutions",,,07-SalesCommerce,销售商务,Sales Commerce,agent,,,,,/avatars/PresalesTechnicalConsultant.png,/plugins/presales-technical-consultant/agents/presales-technical-consultant.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/presales-technical-consultant/agents/presales-technical-consultant.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/presales-technical-consultant/agents/presales-technical-consultant.md,catalog/workbuddy_expert_catalog/prompts/PresalesTechnicalConsultant/presales-technical-consultant.md,downloaded,14510,0ae0437c1c28b537c7b39843f80b8808f28e509d0013df830af80911c151f8bb,,0,0,sources/workbuddy-experts/plugins/presales-technical-consultant,sources/workbuddy-experts/plugins/presales-technical-consultant/agents/presales-technical-consultant.md,catalog/workbuddy_expert_catalog/agents/by-expert/PresalesTechnicalConsultant.md,local_package,1,downloaded,2026-03-13T00:00:00Z,2026-05-22T20:12:00Z,1,1,"commerce,sales"
SalesPipelineAnalyst,,,sales-pipeline-analyst,sales-pipeline-analyst,漏斗通,Vince,,,销售管道分析师,Sales Pipeline Analyst,用数据驱动方法分析销售管道健康度，让预测从猜测变科学,"Using data-driven methods to analyze pipeline health, turning forecasting from guesswork into science",,,07-SalesCommerce,销售商务,Sales Commerce,agent,,,,,/avatars/SalesPipelineAnalyst.png,/plugins/sales-pipeline-analyst/agents/sales-pipeline-analyst.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/sales-pipeline-analyst/agents/sales-pipeline-analyst.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/sales-pipeline-analyst/agents/sales-pipeline-analyst.md,catalog/workbuddy_expert_catalog/prompts/SalesPipelineAnalyst/sales-pipeline-analyst.md,downloaded,19010,de8438aa3e1512aba82c74286d00f7c3f6d6166f2bc481d99ca6b5613ac3e6c3,,0,0,sources/workbuddy-experts/plugins/sales-pipeline-analyst,sources/workbuddy-experts/plugins/sales-pipeline-analyst/agents/sales-pipeline-analyst.md,catalog/workbuddy_expert_catalog/agents/by-expert/SalesPipelineAnalyst.md,local_package,1,downloaded,2026-03-13T00:00:00Z,2026-05-22T20:12:00Z,1,1,"commerce,sales,销售,转化"
DiscoveryCoach,,,discovery-coach,discovery-coach,掘需需,Piper,,,需求发现教练,Discovery Coach,训练销售掌握深度需求挖掘技巧，发现真正的业务痛点,"Training sales to master deep evidence exchange techniques, uncovering true business pain points",,,07-SalesCommerce,销售商务,Sales Commerce,agent,,,,,/avatars/DiscoveryCoach.png,/plugins/discovery-coach/agents/discovery-coach.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/discovery-coach/agents/discovery-coach.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/discovery-coach/agents/discovery-coach.md,catalog/workbuddy_expert_catalog/prompts/DiscoveryCoach/discovery-coach.md,downloaded,13957,a7abd5b4c529b8717b7d7008c58b4e8665d7c6fa62407f327c732f59a2726223,,0,0,sources/workbuddy-experts/plugins/discovery-coach,sources/workbuddy-experts/plugins/discovery-coach/agents/discovery-coach.md,catalog/workbuddy_expert_catalog/agents/by-expert/DiscoveryCoach.md,local_package,1,downloaded,2026-03-13T00:00:00Z,2026-05-22T20:12:00Z,1,1,"commerce,sales,销售,转化"
OutboundStrategist,,,outbound-strategist,outbound-strategist,拨必通,Raven,,,外呼策略师,Outbound Strategist,精通外呼和冷启动销售策略，让陌生人30秒内愿意继续倾听,"Expert in outbound and cold start sales strategies, getting strangers to listen within 30 seconds",,,07-SalesCommerce,销售商务,Sales Commerce,agent,,,,,/avatars/OutboundStrategist.png,/plugins/outbound-strategist/agents/outbound-strategist.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/outbound-strategist/agents/outbound-strategist.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/outbound-strategist/agents/outbound-strategist.md,catalog/workbuddy_expert_catalog/prompts/OutboundStrategist/outbound-strategist.md,downloaded,10744,8d37ac61a9160e50d1015a639c4e68a765d8066314683b54d15959f3d4fef921,,0,0,sources/workbuddy-experts/plugins/outbound-strategist,sources/workbuddy-experts/plugins/outbound-strategist/agents/outbound-strategist.md,catalog/workbuddy_expert_catalog/agents/by-expert/OutboundStrategist.md,local_package,1,downloaded,2026-03-13T00:00:00Z,2026-05-22T20:12:00Z,1,1,"commerce,sales,销售,转化"
GovernmentDigitalPresalesConsultant,,,government-digital-presales-consultant,government-digital-presales-consultant,政通通,Maren,,,政府数字化售前顾问,Government Digital Presales Consultant,精通政府数字化转型需求和采购流程,Expert in government digital transformation needs and procurement processes,,,07-SalesCommerce,销售商务,Sales Commerce,agent,,,,,/avatars/GovernmentDigitalPresalesConsultant.png,/plugins/government-digital-presales-consultant/agents/government-digital-presales-consultant.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/government-digital-presales-consultant/agents/government-digital-presales-consultant.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/government-digital-presales-consultant/agents/government-digital-presales-consultant.md,catalog/workbuddy_expert_catalog/prompts/GovernmentDigitalPresalesConsultant/government-digital-presales-consultant.md,downloaded,23407,a0718f8d1e694e4caa08680801d2d9ce343395427e1de8fd5d1eb7e712d72619,,0,0,sources/workbuddy-experts/plugins/government-digital-presales-consultant,sources/workbuddy-experts/plugins/government-digital-presales-consultant/agents/government-digital-presales-consultant.md,catalog/workbuddy_expert_catalog/agents/by-expert/GovernmentDigitalPresalesConsultant.md,local_package,1,downloaded,2026-03-13T00:00:00Z,2026-05-22T19:53:00Z,1,1,"commerce,sales"
SalesBattleTeam,,,sales-director,sales-battle-team,销售作战团队,Sales Battle Team,,,销售作战团队,Sales Battle Team,销售攻坚体系，客户研究锁定目标、外联策略提升触达、竞品情报预警风险、销售预测优化资源分配,"Sales effectiveness system: account research identifies targets, outreach strategy improves reach, competitive intel warns risks, pipeline forecasting optimizes resource allocation",,,07-SalesCommerce,销售商务,Sales Commerce,team,,,WorkBuddy团队,WorkBuddy Team,/avatars/SalesBattleTeam.png,/plugins/sales-battle-team/agents/sales-director.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/sales-battle-team/agents/sales-director.md,https://acc-1258344699.cos.accelerate.myqcloud.com/workbuddy/expert-marketplace/plugins/sales-battle-team/agents/sales-director.md,catalog/workbuddy_expert_catalog/prompts/SalesBattleTeam/sales-director.md,downloaded,8515,9ed852f1eaf6ce62bb90a962ad4d3ec71081979e0de3ce21756f28a65e723643,,0,0,sources/workbuddy-experts/plugins/sales-battle-team,sources/workbuddy-experts/plugins/sales-battle-team/agents/sales-director.md,catalog/workbuddy_expert_catalog/agents/by-expert/SalesBattleTeam.md,local_package,1,downloaded,2026-04-16T00:38:20Z,2026-05-12T10:25:00Z,1,1,"commerce,sales,销售"
