scope,item,reason,replacement
workbuddy_skill,libtv-skill,必须 LIBTV_ACCESS_KEY 并依赖 LibTV/Liblib 云端工作流,本地 ComfyUI 工作流 + novel-storyboard
workbuddy_agent,ContentDistributionTeam,绑定 libtv-skill 且包含发布/MCP 连接器,只保留本地 prompt 和手动导出
workbuddy_agent,TikTokStrategist,绑定 libtv-skill,使用纯提示词版平台策略，不绑定生成技能
workbuddy_skill,ai-content-production,强绑定 WorkBuddy 内置 HY-Video/YT-Video/ImageGen 等平台模型,本地 ComfyUI 节点/模型
workbuddy_agent,AiContentCreatorTeam,完整团队依赖 WorkBuddy 内置多模态工具,拆出纯创意/文案 prompt，生成由 ComfyUI 完成
workbuddy_skill,video-gen,依赖 ListenHub CLI、云端鉴权和远程视频模型,本地 ComfyUI + 本地渲染
workbuddy_agent,ChatcutVideoEditor,依赖 ChatCut MCP 和付费视频生成 entitlement,本地时间轴/FFmpeg/Remotion
workbuddy_skill,douyin-script-analyzer,必须 SiliconFlow API key 和火山方舟 ARK API key,用户提供本地视频 + qiankun-video-shift
workbuddy_skill,douyin-resolver,必须 SiliconFlow API key，且依赖抖音解析链路,用户提供本地视频文件
workbuddy_agent,VideoDissection,完整团队绑定抖音解析和云端视频理解 API,只保留本地视频分析流程
workbuddy_skill,video-content-collector,依赖 feedgrab/multi-search-engine 外部采集服务,用户本地素材/本地资料
workbuddy_skill,video-renderer,edge-tts 访问远程 TTS，Azure 为备选,本地 TTS 或已有音频 + HyperFrames
workbuddy_skill,media-use,首轮要求 HeyGen CLI/账号,本地媒体目录、ComfyUI、FFmpeg
workbuddy_team,VideoGenTeam,完整团队包含外部内容采集和远程 TTS/渲染链路,保留 ling-planner prompt，渲染改本地
workbuddy_skill,bgm-library,依赖外部 ccMixter 音乐下载,本地音乐库或用户提供 BGM
promo_team,PromoCreatorTeam,完整团队可调用远程素材与 Mureka BGM 生成,保留 storyboard-artist prompt
